sch,sch_dep,sch_par,sid,story_dep,story_par,text
35	perhaps	perhaps	_	RB	_	38	advmod	_	_
36	to	to	_	TO	_	38	case	_	_
37	my	my	_	PRP$	_	38	nmod:poss	_	_
38	family	family	_	NN	_	28	conj	_	_
39	.	.	_	.	_	2	punct	_	_

1	My	my	_	PRP$	_	2	nmod:poss	_	_
2	wife	wife	_	NN	_	12	nsubj	_	_
3	,	,	_	,	_	2	punct	_	_
4	our	we	_	PRP$	_	6	nmod:poss	_	_
5	five	five	_	CD	_	6	nummod	_	_
6	children	child	_	NNS	_	2	appos	_	_
7	,	,	_	,	_	2	punct	_	_
8	and	and	_	CC	_	2	cc	_	_
9	our	we	_	PRP$	_	10	nmod:poss	_	_
10	dog	dog	_	NN	_	2	conj	_	_
11	,	,	_	,	_	2	punct	_	_
12	stayed	stay	_	VBD	_	0	root	_	_
13	in	in	_	IN	_	15	case	_	_
14	an	a	_	DT	_	15	det	_	_
15	area	area	_	NN	_	12	nmod	_	_
16	of	of	_	IN	_	18	case	_	_
17	the	the	_	DT	_	18	det	_	_
18	home	home	_	NN	_	15	nmod	_	_
19	where	where	_	WRB	_	21	advmod	_	_
20	we	we	_	PRP	_	21	nsubj	_	_
21	felt	feel	_	VBD	_	18	acl:relcl	_	_
22	safest	safest	_	JJS	_	21	xcomp	_	_
23	.	.	_	.	_	12	punct	_	_

1	Then	then	_	RB	_	4	advmod	_	_
2	,	,	_	,	_	4	punct	_	_
3	I	I	_	PRP	_	4	nsubj	_	_
4	heard	hear	_	VBD	_	0	root	_	_
5	a	a	_	DT	_	7	det	_	_
6	large	large	_	JJ	_	7	amod	_	_
7	crash	crash	_	NN	_	4	dobj	_	_
8	.	.	_	.	_	4	punct	_	_

1	I	I	_	PRP	_	2	nsubj	_	_
2	looked	look	_	VBD	_	0	root	_	_
3	out	out	_	RP	_	2	compound:prt	_	_
4	my	my	_	PRP$	_	6	nmod:poss	_	_
5	front	front	_	NN	_	6	compound	_	_
6	window	window	_	NN	_	2	dobj	_	_
7	and	and	_	CC	_	2	cc	_	_
8	saw	see	_	VBD	_	2	conj	_	_
9	that	that	_	IN	_	19	mark	_	_
10	a	a	_	DT	_	11	det	_	_
11	tree	tree	_	NN	_	19	nsubj	_	_
12	from	from	_	IN	_	17	case	_	_
13	my	my	_	PRP$	_	15	nmod:poss	_	_
14	across-the-street	across-the-street	_	JJ	_	15	amod	_	_
15	neighbor	neighbor	_	NN	_	17	nmod:poss	_	_
16	's	's	_	POS	_	15	case	_	_
17	house	house	_	NN	_	11	nmod	_	_
18	had	have	_	VBD	_	19	aux	_	_
19	fallen	fall	_	VBN	_	8	ccomp	_	_
20	on	on	_	IN	_	21	case	_	_
21	top	top	_	NN	_	19	nmod	_	_
22	of	of	_	IN	_	26	case	_	_
23	another	another	_	DT	_	24	det	_	_
24	neighbor	neighbor	_	NN	_	26	nmod:poss	_	_
25	's	's	_	POS	_	24	case	_	_
26	RV	rv	_	NN	_	21	nmod	_	_
27	.	.	_	.	_	2	punct	_	_

1	Trees	Trees	_	NNP	_	3	nsubj	_	_
2	were	be	_	VBD	_	3	aux	_	_
3	dropping	drop	_	VBG	_	0	root	_	_
4	all	all	_	DT	_	3	dobj	_	_
5	around	around	_	IN	_	6	case	_	_
6	us	we	_	PRP	_	3	nmod	_	_
7	.	.	_	.	_	3	punct	_	_

1	Another	another	_	DT	_	2	det	_	_
2	tree	tree	_	NN	_	3	nsubj	_	_
3	fell	fall	_	VBD	_	0	root	_	_
4	on	on	_	IN	_	8	case	_	_
5	my	my	_	PRP$	_	8	nmod:poss	_	_
6	riding	ride	_	VBG	_	8	amod	_	_
7	lawn	lawn	_	NN	_	8	compound	_	_
8	mower	mower	_	NN	_	3	nmod	_	_
9	and	and	_	CC	_	8	cc	_	_
10	my	my	_	PRP$	_	12	nmod:poss	_	_
11	golf	golf	_	NN	_	12	compound	_	_
12	cart	cart	_	NN	_	8	conj	_	_
13	.	.	_	.	_	3	punct	_	_

1	Fortunately	fortunately	_	RB	_	5	advmod	_	_
2	,	,	_	,	_	5	punct	_	_
3	no	no	_	DT	_	4	neg	_	_
4	trees	tree	_	NNS	_	5	nsubj	_	_
5	fell	fall	_	VBD	_	0	root	_	_
6	on	on	_	IN	_	8	case	_	_
7	my	my	_	PRP$	_	8	nmod:poss	_	_
8	house	house	_	NN	_	5	nmod	_	_
9	.	.	_	.	_	5	punct	_	_

1	Many	many	_	JJ	_	8	nsubj	_	_
2	of	of	_	IN	_	4	case	_	_
3	my	my	_	PRP$	_	4	nmod:poss	_	_
4	neighbors	neighbor	_	NNS	_	1	nmod	_	_
5	were	be	_	VBD	_	8	cop	_	_
6	not	not	_	RB	_	8	neg	_	_
7	so	so	_	RB	_	8	advmod	_	_
8	fortunate	fortunate	_	JJ	_	0	root	_	_
9	.	.	_	.	_	8	punct	_	_

1	President	President	_	NNP	_	2	compound	_	_
2	Bush	Bush	_	NNP	_	3	nsubj	_	_
3	came	come	_	VBD	_	0	root	_	_
4	to	to	_	TO	_	6	case	_	_
5	Baton	Baton	_	NNP	_	6	compound	_	_
6	Rouge	Rouge	_	NNP	_	3	nmod	_	_
7	yesterday	yesterday	_	NN	_	3	nmod:tmod	_	_
8	to	to	_	TO	_	9	mark	_	_
9	assess	assess	_	VB	_	3	xcomp	_	_
10	the	the	_	DT	_	11	det	_	_
11	damage	damage	_	NN	_	9	dobj	_	_
12	.	.	_	.	_	3	punct	_	_

1	I	I	_	PRP	_	2	nsubj	_	_
2	have	have	_	VBP	_	0	root	_	_
3	three	three	_	CD	_	5	nummod	_	_
4	good	good	_	JJ	_	5	amod	_	_
5	friends	friend	_	NNS	_	2	dobj	_	_
6	on	on	_	IN	_	10	case	_	_
7	Governor	governor	_	NN	_	8	compound	_	_
8	Jindal	Jindal	_	NNP	_	10	nmod:poss	_	_
9	's	's	_	POS	_	8	case	_	_
10	cabinet	cabinet	_	NN	_	5	nmod	_	_
11	and	and	_	CC	_	2	cc	_	_
12	I	I	_	PRP	_	13	nsubj	_	_
13	know	know	_	VBP	_	2	conj	_	_
14	that	that	_	IN	_	17	mark	_	_
15	they	they	_	PRP	_	17	nsubj	_	_
16	are	be	_	VBP	_	17	aux	_	_
17	doing	do	_	VBG	_	13	ccomp	_	_
18	a	a	_	DT	_	20	det	_	_
19	super	super	_	JJ	_	20	amod	_	_
20	job	job	_	NN	_	17	dobj	_	_
21	bringing	bring	_	VBG	_	20	acl	_	_
22	things	thing	_	NNS	_	21	dobj	_	_
23	back	back	_	RB	_	21	advmod	_	_
24	to	to	_	TO	_	25	case	_	_
25	order	order	_	NN	_	23	nmod	_	_
26	.	.	_	.	_	2	punct	_	_

1	It	it	_	PRP	_	5	nsubjpass	_	_
2	's	be	_	VBZ	_	5	auxpass	_	_
3	been	be	_	VBN	_	5	cop	_	_
4	three	three	_	CD	_	5	nummod	_	_
5	days	day	_	NNS	_	0	root	_	_
6	since	since	_	IN	_	8	case	_	_
7	the	the	_	DT	_	8	det	_	_
8	storm	storm	_	NN	_	5	nmod	_	_
9	and	and	_	CC	_	5	cc	_	_
10	I	I	_	PRP	_	14	nsubj	_	_
11	still	still	_	RB	_	14	advmod	_	_
12	do	do	_	VBP	_	14	aux	_	_
13	not	not	_	RB	_	14	neg	_	_
14	have	have	_	VB	_	5	conj	_	_
15	electricity	electricity	_	NN	_	14	dobj	_	_
16	-	-	_	:	_	5	punct	_	_
17	but	but	_	CC	_	5	cc	_	_
18	that	that	_	DT	_	20	nsubjpass	_	_
19	is	be	_	VBZ	_	20	auxpass	_	_
20	expected	expect	_	VBN	_	5	conj	_	_
21	given	give	_	VBN	_	26	case	_	_
22	all	all	_	PDT	_	26	det:predet	_	_
23	the	the	_	DT	_	26	det	_	_
24	downed	down	_	VBN	_	26	amod	_	_
25	power	power	_	NN	_	26	compound	_	_
26	lines	line	_	NNS	_	20	nmod	_	_
27	.	.	_	.	_	5	punct	_	_

1	Unfortunately	unfortunately	_	RB	_	9	advmod	_	_
2	,	,	_	,	_	9	punct	_	_
3	my	my	_	PRP$	_	6	nmod:poss	_	_
4	brand	brand	_	NN	_	6	compound	_	_
5	new	new	_	JJ	_	6	amod	_	_
6	generator	generator	_	NN	_	9	nsubj	_	_
7	does	do	_	VBZ	_	9	aux	_	_
8	not	not	_	RB	_	9	neg	_	_
9	work	work	_	VB	_	0	root	_	_
10	-	-	_	:	_	9	punct	_	_
11	I	I	_	PRP	_	12	nsubj	_	_
12	brought	bring	_	VBD	_	9	parataxis	_	_
13	it	it	_	PRP	_	12	dobj	_	_
14	in	in	_	IN	_	12	compound:prt	_	_
15	for	for	_	IN	_	16	case	_	_
16	repair	repair	_	NN	_	12	nmod	_	_
17	.	.	_	.	_	9	punct	_	_

1	Thankfully	thankfully	_	RB	_	7	advmod	_	_
2	,	,	_	,	_	7	punct	_	_
3	my	my	_	PRP$	_	4	nmod:poss	_	_
4	parents	parent	_	NNS	_	6	nmod:poss	_	_
5	'	'	_	POS	_	4	case	_	_
6	house	house	_	NN	_	7	nsubj	_	_
7	had	have	_	VBD	_	0	root	_	_
8	electricity	electricity	_	NN	_	9	nsubj	_	_
9	restored	restore	_	VBD	_	7	ccomp	_	_
10	the	the	_	DT	_	11	det	_	_
11	day	day	_	NN	_	9	dobj	_	_
12	after	after	_	IN	_	14	case	_	_
13	the	the	_	DT	_	14	det	_	_
14	storm	storm	_	NN	_	11	nmod	_	_
15	so	so	_	IN	_	18	mark	_	_
16	I	I	_	PRP	_	18	nsubj	_	_
17	was	be	_	VBD	_	18	cop	_	_
18	able	able	_	JJ	_	9	advcl	_	_
19	to	to	_	TO	_	20	mark	_	_
20	bring	bring	_	VB	_	18	xcomp	_	_
21	my	my	_	PRP$	_	22	nmod:poss	_	_
22	family	family	_	NN	_	20	dobj	_	_
23	to	to	_	TO	_	25	case	_	_
24	their	they	_	PRP$	_	25	nmod:poss	_	_
25	house	house	_	NN	_	20	nmod	_	_
26	until	until	_	IN	_	27	case	_	_
27	electricity	electricity	_	NN	_	20	nmod	_	_
28	at	at	_	IN	_	30	case	_	_
29	my	my	_	PRP$	_	30	nmod:poss	_	_
30	house	house	_	NN	_	27	nmod	_	_
31	gets	get	_	VBZ	_	32	auxpass	_	_
32	restored	restore	_	VBN	_	18	dep	_	_
33	.	.	_	.	_	7	punct	_	_

1	There	there	_	EX	_	2	expl	_	_
2	are	be	_	VBP	_	0	root	_	_
3	downed	down	_	VBD	_	7	amod	_	_
4	trees	tree	_	NNS	_	7	compound	_	_
5	and	and	_	CC	_	4	cc	_	_
6	power	power	_	NN	_	4	conj	_	_
7	lines	line	_	NNS	_	2	nsubj	_	_
8	all	all	_	DT	_	11	advmod	_	_
9	over	over	_	IN	_	11	case	_	_
10	the	the	_	DT	_	11	det	_	_
11	city	city	_	NN	_	7	nmod	_	_
12	.	.	_	.	_	2	punct	_	_

","(ROOT (S (NP (NNP Louisiana)) (VP (VBD was) (ADVP (RB adversely)) (VP (VBN affected) (PP (IN by) (NP (NNP Hurricane) (NNP Gustav))))) (. .)))
(ROOT (S (NP (PRP I)) (VP (VBP 've) (VP (VBN added) (NP (NN information)) (PP (TO to) (NP (NP (DT the) (JJ left) (NN hand) (NN side)) (PP (IN of) (NP (PRP$ my) (NN blog))))) (SBAR (WHADVP (WRB where)) (S (NP (PRP you)) (VP (MD can) (VP (VB assist) (NP (DT the) (NN hurricane) (NN relief)))))))) (. .)))
(ROOT (S (S (NP (RB Here)) (VP (VBZ 's) (NP (SBAR (WHNP (WP what)) (S (VP (VBD happened) (PP (TO to) (NP (PRP me)))))) (CC and) (NP (PRP$ my) (NN family))))) (: :) (S (NP (PRP We)) (VP (VBD watched) (NP (NP (DT the) (NN storm)) (VP (VBG moving) (PP (IN in) (NP (NP (DT all)) (PP (IN of) (NP (JJ last) (NN weekend))))) (PP (IN on) (NP (NP (DT the) (NNP Weather) (NNP Channel)) (CC and) (NP (JJ local) (NN news)))))))) (. .)))
(ROOT (S (NP (PRP I)) (VP (VBD went) (PP (TO to) (NP (NNP Home) (NNP Depot))) (PP (RB just) (IN in) (NP (NP (DT the) (NN nick)) (PP (IN of) (NP (NN time))))) (S (VP (TO to) (VP (VB purchase) (NP (DT a) (JJ portable) (NN generator)))))) (. .)))
(ROOT (S (S (NP (PRP I)) (VP (VBD filled) (PRT (RP up)) (NP (PRP$ my) (CD three) (NNS SUVs)))) (CC and) (S (NP (PRP I)) (VP (VBD filled) (PRT (RP up)) (NP (NP (CD five) (JJ five-gallon) (NNS containers)) (PP (IN of) (NP (NN gasoline)))))) (. .)))
(ROOT (S (NP (PRP We)) (VP (VBD purchased) (NP (NNS supplies)) (S (VP (TO to) (VP (VB last) (NP (PRP us)) (NP-TMP (DT a) (JJ few) (NNS days)))))) (. .)))
(ROOT (S (SBAR (IN Since) (S (NP (PRP I)) (VP (VBP live) (PP (NP (QP (RB about) (CD 60)) (NNS miles)) (IN from) (NP (DT the) (NN coast)))))) (, ,) (NP (PRP I)) (VP (VBD was) (RB n't) (VP (VBG expecting) (NP (ADJP (RB too) (JJ much)) (NN damage)))) (. .)))
(ROOT (S (NP (DT The) (NN storm)) (VP (VBD rolled) (PP (IN in) (PP (IN on) (NP (NNP Monday)))) (, ,) (NP-TMP (NNP September) (CD 1)) (, ,) (PP (IN in) (NP (DT the) (NN morning)))) (. .)))
(ROOT (S (NP (NNP Power)) (VP (VBD went) (PRT (RP out)) (PP (IN about) (NP (CD 11:00) (RB am)))) (. .)))
(ROOT (S (NP (NNS Winds)) (VP (VBD started) (S (VP (VBG kicking) (PRT (RP up))))) (. .)))
(ROOT (S (NP (PRP We)) (VP (VBD were) (VP (VBN told) (SBAR (S (NP (PRP$ our) (NN area)) (VP (MD would) (VP (VB get) (NP (NP (NNS winds)) (PP (IN of) (ADJP (RB about) (JJ 50mph)))))))))) (. .)))
(ROOT (S (NP (PRP I)) (VP (VBP live) (PP (IN in) (NP (DT an) (NN area))) (SBAR (WHADVP (WRB where)) (S (NP (EX there)) (VP (VBP are) (NP (NP (NNS lots)) (PP (IN of) (NP (NP (NP (JJ large)) (SBAR (S (VP (VBP pine))))) (CC and) (NP (NN oak) (NNS trees))))))))) (. .)))
(ROOT (S (PP (IN About) (NP (CD 12:30) (NN pm))) (, ,) (NP (PRP I)) (VP (VBD was) (VP (VBG standing) (PP (IN on) (NP (PRP$ my) (JJ back) (NN patio))) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VP (VBD watched) (NP (DT a) (JJ large) (NN tree) (NN split)) (PP (IN in) (NP (CD two)))) (CC and) (VP (VB fall) (PP (IN in) (NP (NP (PRP$ my) (NN neighbor) (POS 's)) (NN yard))))))))) (. .)))
(ROOT (S (S (NP (PRP I)) (VP (VBD started) (S (VP (TO to) (VP (VB get) (ADJP (JJ nervous) (PP (IN at) (NP (DT that) (NN point)))) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP have) (NP (NP (JJ numerous) (NNS trees)) (PP (IN near) (NP (PRP$ my) (NN home)))))))))))) (CC and) (S (NP (PRP I)) (VP (VBD was) (VP (VBN concerned) (SBAR (IN that) (S (SBAR (IN if) (S (NP (DT those)) (VP (VBD fell)))) (, ,) (NP (PRP it)) (VP (MD would) (VP (VB cause) (NP (JJ serious) (NN damage)) (PP (PP (TO to) (NP (PRP$ my) (NN home))) (CC and) (RB perhaps) (PP (TO to) (NP (PRP$ my) (NN family))))))))))) (. .)))
(ROOT (S (NP (NP (PRP$ My) (NN wife)) (, ,) (NP (NP (PRP$ our) (CD five) (NNS children)) (, ,) (CC and) (NP (PRP$ our) (NN dog))) (, ,)) (VP (VBD stayed) (PP (IN in) (NP (NP (DT an) (NN area)) (PP (IN of) (NP (DT the) (NN home))))) (SBAR (WHADVP (WRB where)) (S (NP (PRP we)) (VP (VBD felt) (NP (JJS safest)))))) (. .)))
(ROOT (S (ADVP (RB Then)) (, ,) (NP (PRP I)) (VP (VBD heard) (NP (DT a) (JJ large) (NN crash))) (. .)))
(ROOT (S (NP (PRP I)) (VP (VP (VBD looked) (PRT (RP out)) (NP (PRP$ my) (NN front) (NN window))) (CC and) (VP (VBD saw) (SBAR (IN that) (S (NP (NP (DT a) (NN tree)) (PP (IN from) (NP (NP (PRP$ my) (JJ across-the-street) (NN neighbor) (POS 's)) (NN house)))) (VP (VBD had) (VP (VBN fallen) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT another) (NN neighbor) (POS 's)) (NN RV))))))))))) (. .)))
(ROOT (S (NP (NNP Trees)) (VP (VBD were) (VP (VBG dropping) (NP (NP (DT all)) (PP (IN around) (NP (PRP us)))))) (. .)))
(ROOT (S (NP (DT Another) (NN tree)) (VP (VBD fell) (PP (IN on) (NP (NP (PRP$ my) (VBG riding) (NN lawn) (NN mower)) (CC and) (NP (PRP$ my) (NN golf) (NN cart))))) (. .)))
(ROOT (S (ADVP (RB Fortunately)) (, ,) (NP (DT no) (NNS trees)) (VP (VBD fell) (PP (IN on) (NP (PRP$ my) (NN house)))) (. .)))
(ROOT (S (NP (NP (JJ Many)) (PP (IN of) (NP (PRP$ my) (NNS neighbors)))) (VP (VBD were) (RB not) (ADJP (RB so) (JJ fortunate))) (. .)))
(ROOT (S (NP (NNP President) (NNP Bush)) (VP (VBD came) (PP (TO to) (NP (NNP Baton) (NNP Rouge))) (NP-TMP (NN yesterday)) (S (VP (TO to) (VP (VB assess) (NP (DT the) (NN damage)))))) (. .)))
(ROOT (S (S (NP (PRP I)) (VP (VBP have) (NP (NP (CD three) (JJ good) (NNS friends)) (PP (IN on) (NP (NP (NN Governor) (NNP Jindal) (POS 's)) (NN cabinet)))))) (CC and) (S (NP (PRP I)) (VP (VBP know) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP are) (VP (VBG doing) (NP (NP (DT a) (JJ super) (NN job)) (VP (VBG bringing) (NP (NNS things)) (ADVP (RB back)) (PP (TO to) (NP (NN order))))))))))) (. .)))
(ROOT (S (S (NP (PRP It)) (VP (VBZ 's) (VP (VBN been) (NP (NP (CD three) (NNS days)) (PP (IN since) (NP (DT the) (NN storm))))))) (CC and) (S (NP (PRP I)) (ADVP (RB still)) (VP (VBP do) (RB not) (VP (VB have) (NP (NN electricity))))) (: -) (CC but) (S (NP (DT that)) (VP (VBZ is) (VP (VBN expected) (VP (VBN given) (S (NP (PDT all) (DT the) (VBN downed) (NN power) (NNS lines))))))) (. .)))
(ROOT (S (S (ADVP (RB Unfortunately)) (, ,) (NP (PRP$ my) (NN brand) (JJ new) (NN generator)) (VP (VBZ does) (RB not) (VP (VB work)))) (: -) (S (NP (PRP I)) (VP (VBD brought) (NP (PRP it)) (PP (IN in) (PP (IN for) (NP (NN repair)))))) (. .)))
(ROOT (S (ADVP (RB Thankfully)) (, ,) (NP (NP (PRP$ my) (NNS parents) (POS ')) (NN house)) (VP (VBD had) (NP (NP (NN electricity)) (SBAR (S (VP (VBD restored) (NP (DT the) (NN day)) (PP (IN after) (NP (DT the) (NN storm))) (SBAR (IN so) (S (NP (PRP I)) (VP (VBD was) (ADJP (JJ able) (S (VP (TO to) (VP (VB bring) (NP (PRP$ my) (NN family)) (PP (TO to) (NP (PRP$ their) (NN house))) (SBAR (IN until) (S (NP (NP (NN electricity)) (PP (IN at) (NP (PRP$ my) (NN house)))) (VP (VBZ gets) (VP (VBN restored))))))))))))))))) (. .)))
(ROOT (S (NP (EX There)) (VP (VBP are) (VP (VBD downed) (NP (NNS trees) (CC and) (NN power) (NNS lines)) (PP (DT all) (IN over) (NP (DT the) (NN city))))) (. .)))
","Louisiana was adversely affected by Hurricane Gustav. I've added information to the left hand side of my blog where you can assist the hurricane relief. Here's what happened to me and my family:
We watched the storm moving in all of last weekend on the Weather Channel and local news. I went to Home Depot just in the nick of time to purchase a portable generator. I filled up my three SUVs and I filled up five five-gallon containers of gasoline. We purchased supplies to last us a few days. Since I live about 60 miles from the coast, I wasn't expecting too much damage.
The storm rolled in on Monday, September 1, in the morning. Power went out about 11:00am. Winds started kicking up. We were told our area would get winds of about 50mph. I live in an area where there are lots of large pine and oak trees.
About 12:30pm, I was standing on my back patio when I watched a large tree split in two and fall in my neighbor's yard. I started to get nervous at that point because I have numerous trees near my home and I was concerned that if those fell, it would cause serious damage to my home and perhaps to my family. My wife, our five children, and our dog, stayed in an area of the home where we felt safest.
Then, I heard a large crash. I looked out my front window and saw that a tree from my across-the-street neighbor's house had fallen on top of another neighbor's RV. Trees were dropping all around us. Another tree fell on my riding lawn mower and my golf cart. Fortunately, no trees fell on my house. Many of my neighbors were not so fortunate.
President Bush came to Baton Rouge yesterday to assess the damage. I have three good friends on Governor Jindal's cabinet and I know that they are doing a super job bringing things back to order. It's been three days since the storm and I still do not have electricity - but that is expected given all the downed power lines. Unfortunately, my brand new generator does not work - I brought it in for repair. Thankfully, my parents' house had electricity restored the day after the storm so I was able to bring my family to their house until electricity at my house gets restored. There are downed trees and power lines all over the city.
"
,,,mc500.train.18,"1	Kelly	Kelly	_	NNP	_	2	nsubj	_	_
2	woke	wake	_	VBD	_	0	root	_	_
3	up	up	_	RP	_	2	compound:prt	_	_
4	one	one	_	CD	_	5	nummod	_	_
5	morning	morning	_	NN	_	2	nmod:tmod	_	_
6	and	and	_	CC	_	2	cc	_	_
7	went	go	_	VBD	_	2	conj	_	_
8	outside	outside	_	IN	_	7	advmod	_	_
9	to	to	_	TO	_	12	case	_	_
10	her	she	_	PRP$	_	12	nmod:poss	_	_
11	back	back	_	NN	_	12	compound	_	_
12	yard	yard	_	NN	_	7	nmod	_	_
13	.	.	_	.	_	2	punct	_	_

1	She	she	_	PRP	_	5	nsubj	_	_
2	was	be	_	VBD	_	5	cop	_	_
3	in	in	_	IN	_	5	case	_	_
4	a	a	_	DT	_	5	det	_	_
5	hurry	hurry	_	NN	_	0	root	_	_
6	because	because	_	IN	_	11	mark	_	_
7	it	it	_	PRP	_	11	nsubj	_	_
8	was	be	_	VBD	_	11	cop	_	_
9	Mother	Mother	_	NNP	_	11	nmod:poss	_	_
10	's	's	_	POS	_	9	case	_	_
11	Day	day	_	NN	_	5	advcl	_	_
12	and	and	_	CC	_	11	cc	_	_
13	she	she	_	PRP	_	14	nsubj	_	_
14	had	have	_	VBD	_	11	conj	_	_
15	to	to	_	TO	_	16	mark	_	_
16	collect	collect	_	VB	_	14	xcomp	_	_
17	flowers	flower	_	NNS	_	16	dobj	_	_
18	before	before	_	IN	_	21	mark	_	_
19	her	she	_	PRP$	_	20	nmod:poss	_	_
20	mom	mom	_	NN	_	21	nsubj	_	_
21	woke	wake	_	VBD	_	16	advcl	_	_
22	up	up	_	RP	_	21	compound:prt	_	_
23	to	to	_	TO	_	24	mark	_	_
24	give	give	_	VB	_	21	xcomp	_	_
25	to	to	_	TO	_	26	case	_	_
26	her	she	_	PRP$	_	24	nmod	_	_
27	as	as	_	IN	_	29	case	_	_
28	a	a	_	DT	_	29	det	_	_
29	present	present	_	JJ	_	24	nmod	_	_
30	.	.	_	.	_	5	punct	_	_

1	She	she	_	PRP	_	3	nsubj	_	_
2	was	be	_	VBD	_	3	aux	_	_
3	going	go	_	VBG	_	0	root	_	_
4	to	to	_	TO	_	5	mark	_	_
5	give	give	_	VB	_	3	xcomp	_	_
6	her	she	_	PRP$	_	7	nmod:poss	_	_
7	mom	mom	_	NN	_	5	iobj	_	_
8	the	the	_	DT	_	13	det	_	_
9	biggest	biggest	_	JJS	_	13	amod	_	_
10	,	,	_	,	_	13	punct	_	_
11	most	most	_	RBS	_	12	advmod	_	_
12	beautiful	beautiful	_	JJ	_	13	amod	_	_
13	bunch	bunch	_	NN	_	5	dobj	_	_
14	of	of	_	IN	_	15	case	_	_
15	flowers	flower	_	NNS	_	13	nmod	_	_
16	her	she	_	PRP$	_	17	nmod:poss	_	_
17	mother	mother	_	NN	_	20	nsubj	_	_
18	had	have	_	VBD	_	20	aux	_	_
19	ever	ever	_	RB	_	20	advmod	_	_
20	seen	see	_	VBN	_	13	acl:relcl	_	_
21	.	.	_	.	_	3	punct	_	_

1	She	she	_	PRP	_	2	nsubj	_	_
2	knew	know	_	VBD	_	0	root	_	_
3	where	where	_	WRB	_	10	advmod	_	_
4	the	the	_	DT	_	6	det	_	_
5	best	best	_	JJS	_	6	amod	_	_
6	flowers	flower	_	NNS	_	10	nsubj	_	_
7	were	be	_	VBD	_	10	cop	_	_
8	in	in	_	IN	_	10	case	_	_
9	her	she	_	PRP$	_	10	nmod:poss	_	_
10	yard	yard	_	NN	_	2	ccomp	_	_
11	.	.	_	.	_	2	punct	_	_

1	She	she	_	PRP	_	2	nsubj	_	_
2	got	get	_	VBD	_	0	root	_	_
3	a	a	_	DT	_	4	det	_	_
4	lot	lot	_	NN	_	2	dobj	_	_
5	of	of	_	IN	_	8	case	_	_
6	different	different	_	JJ	_	8	amod	_	_
7	sized	size	_	VBN	_	8	amod	_	_
8	flowers	flower	_	NNS	_	4	nmod	_	_
9	.	.	_	.	_	2	punct	_	_

1	The	the	_	DT	_	3	det	_	_
2	red	red	_	JJ	_	3	amod	_	_
3	ones	one	_	NNS	_	5	nsubj	_	_
4	were	be	_	VBD	_	5	cop	_	_
5	big	big	_	JJ	_	0	root	_	_
6	,	,	_	,	_	5	punct	_	_
7	the	the	_	DT	_	9	det	_	_
8	orange	orange	_	JJ	_	9	amod	_	_
9	ones	one	_	NNS	_	11	nsubj	_	_
10	were	be	_	VBD	_	11	cop	_	_
11	small	small	_	JJ	_	5	ccomp	_	_
12	,	,	_	,	_	5	punct	_	_
13	and	and	_	CC	_	5	cc	_	_
14	the	the	_	DT	_	16	det	_	_
15	green	green	_	JJ	_	16	amod	_	_
16	ones	one	_	NNS	_	20	nsubj	_	_
17	were	be	_	VBD	_	20	cop	_	_
18	in	in	_	IN	_	20	case	_	_
19	the	the	_	DT	_	20	det	_	_
20	middle	middle	_	NN	_	5	conj	_	_
21	.	.	_	.	_	5	punct	_	_

1	After	after	_	IN	_	3	mark	_	_
2	Kelly	Kelly	_	NNP	_	3	nsubj	_	_
3	collected	collect	_	VBD	_	10	advcl	_	_
4	all	all	_	DT	_	3	dobj	_	_
5	of	of	_	IN	_	7	case	_	_
6	the	the	_	DT	_	7	det	_	_
7	flowers	flower	_	NNS	_	4	nmod	_	_
8	,	,	_	,	_	10	punct	_	_
9	she	she	_	PRP	_	10	nsubj	_	_
10	went	go	_	VBD	_	0	root	_	_
11	inside	inside	_	RB	_	10	advmod	_	_
12	and	and	_	CC	_	10	cc	_	_
13	tied	tie	_	VBD	_	10	conj	_	_
14	them	they	_	PRP	_	13	dobj	_	_
15	together	together	_	RB	_	13	advmod	_	_
16	with	with	_	IN	_	17	case	_	_
17	string	string	_	NN	_	13	nmod	_	_
18	.	.	_	.	_	10	punct	_	_

1	After	after	_	IN	_	2	case	_	_
2	that	that	_	DT	_	5	nmod	_	_
3	,	,	_	,	_	5	punct	_	_
4	she	she	_	PRP	_	5	nsubj	_	_
5	had	have	_	VBD	_	0	root	_	_
6	to	to	_	TO	_	7	mark	_	_
7	hide	hide	_	VB	_	5	xcomp	_	_
8	the	the	_	DT	_	9	det	_	_
9	flowers	flower	_	NNS	_	7	dobj	_	_
10	in	in	_	IN	_	13	case	_	_
11	a	a	_	DT	_	13	det	_	_
12	secret	secret	_	JJ	_	13	amod	_	_
13	spot	spot	_	NN	_	7	nmod	_	_
14	.	.	_	.	_	5	punct	_	_

1	She	she	_	PRP	_	2	nsubj	_	_
2	hoped	hope	_	VBD	_	0	root	_	_
3	her	she	_	PRP$	_	6	nmod:poss	_	_
4	baby	baby	_	NN	_	6	compound	_	_
5	sister	sister	_	NN	_	6	compound	_	_
